# Index	M_int	Con
237	6.009554e+10	7.091337e+02
238	6.597630e+10	5.470511e+02
239	1.774649e+10	1.166869e+01
240	1.005198e+11	5.680503e+02
241	3.378184e+10	1.068797e+02
242	5.233313e+10	3.518986e+02
243	6.052229e+09	1.363755e+01
244	7.477295e+10	3.327041e+02
245	5.006874e+10	2.158868e+02
246	3.299205e+10	1.511422e+02
247	1.187790e+11	3.361267e+02
248	3.826809e+10	5.421087e+01
249	3.487093e+10	1.410293e+02
250	5.763010e+10	1.348794e+02
251	4.533117e+10	1.581803e+02
252	7.466356e+10	3.174291e+02
253	2.051125e+10	3.224258e+01
254	2.511624e+10	1.804289e+02
255	1.079163e+11	6.173790e+02
256	8.010710e+10	6.850190e+02
257	8.357063e+10	2.757353e+02
258	3.579815e+10	8.272764e+01
259	9.367422e+10	1.512999e+02
260	7.370177e+10	9.207624e+01
261	6.285818e+09	1.168938e+01
262	7.053312e+10	3.135426e+02
263	3.320160e+10	1.298419e+00
264	7.928044e+10	2.409425e+03
265	1.350760e+11	3.396085e+01
266	3.197907e+10	3.660059e+02
267	5.882127e+10	3.728234e+01
268	9.877609e+10	3.127985e+02
269	3.901437e+10	6.789384e+02
270	4.569378e+10	2.849181e+02
271	3.790422e+10	4.851974e+02
272	1.375599e+11	1.083995e+02
273	6.248180e+10	3.726415e+05
274	5.879782e+10	7.302777e+00
275	1.676933e+10	2.796695e+02
276	1.599393e+11	5.873449e+01
277	1.095744e+11	2.740791e+02
278	5.105795e+10	8.563235e+02
279	3.712623e+10	1.298466e+01
280	1.130711e+11	9.058721e+02
281	3.238480e+10	2.909824e-03
282	1.471674e+11	6.482084e+02
283	3.092672e+10	3.546857e+02
284	1.081449e+11	3.057585e+02
285	8.813434e+10	1.178397e+03
286	3.039394e+10	2.016527e+02
287	9.138753e+10	1.012548e+03
288	1.677468e+10	2.075695e+02
289	1.029942e+10	2.730439e+01
290	6.642354e+10	6.787972e+02
291	2.144751e+10	1.514167e-01
292	9.735979e+10	6.129885e+02
293	9.827173e+10	3.656093e+02
294	9.162645e+09	1.594260e+01
295	2.077996e+10	1.376098e+03
296	3.724741e+10	2.314412e+01
297	2.772480e+10	7.489645e+01
298	1.841378e+11	4.377730e+02
299	8.238239e+10	2.143017e+01
300	5.692123e+10	4.127927e+01
301	3.127543e+10	7.567856e+01
302	4.508250e+10	2.323271e+02
303	8.475483e+10	1.765224e+01
304	3.881530e+10	2.922498e+02
305	7.793399e+10	3.509727e+02
306	4.151149e+10	3.005784e+02
307	5.393264e+10	3.484023e+01
308	9.320420e+10	1.423811e+03
309	6.262113e+10	6.189781e+02
310	1.151642e+11	1.422247e+02
311	2.185208e+10	5.071658e+02
312	6.204821e+10	1.485746e+02
313	9.013734e+10	1.110912e+03
314	9.488324e+09	5.494619e+01
315	1.067066e+11	5.500246e+02
316	2.186001e+10	6.163802e+01
317	5.724403e+10	1.389098e+01
318	1.141595e+11	1.813093e+02
319	2.086254e+10	1.746347e+02
320	5.986990e+10	2.011465e+02
321	3.827223e+10	5.058514e+01
322	4.245117e+10	2.089328e+02
323	3.719634e+10	1.197077e+02
324	1.197870e+11	3.955862e+02
325	8.001799e+10	2.885424e+02
326	4.213766e+10	9.527818e+01
327	1.914602e+11	3.624856e+02
328	8.978420e+09	1.068139e+01
329	1.472029e+11	2.658694e+02
330	2.735235e+10	1.347014e+01
331	2.203144e+10	7.044012e+02
332	9.357618e+10	4.407838e+01
333	1.046189e+11	2.464045e+02
334	3.098266e+10	4.330424e+02
335	7.034259e+10	6.284526e+01
336	3.443322e+10	2.913284e+03
337	1.145507e+11	7.037150e+01
338	2.243904e+10	2.605363e+02
339	7.156863e+10	3.565728e+01
340	8.326784e+10	4.596870e+02
341	2.162919e+10	5.444331e+01
342	2.118852e+10	6.056850e+01
343	3.607659e+10	6.301378e+02
344	1.143447e+11	4.498469e+02
345	7.659309e+10	5.630186e+02
346	2.912027e+10	8.991892e+01
347	8.536218e+10	5.489518e+02
348	1.158743e+10	1.386703e+02
349	3.193236e+10	2.826490e+02
350	5.465444e+10	2.898257e+02
351	1.964334e+10	5.685490e+01
352	9.504087e+10	8.075393e+02
353	7.100308e+10	2.356217e+02
354	1.027078e+10	7.582458e+01
355	5.210787e+10	4.456853e+02
356	9.865683e+09	7.316483e+00
357	6.412715e+10	7.187958e+01
358	1.450655e+11	9.079406e+02
359	1.205681e+10	4.350766e+01
360	8.007711e+10	1.370310e+02
361	6.958135e+10	1.406632e+02
362	1.438420e+10	2.161577e+02
363	1.527243e+11	2.268111e+02
364	5.403064e+10	8.722369e+02
365	6.533091e+10	6.136761e+00
366	9.985761e+10	6.540375e+02
367	5.742224e+10	1.193551e+02
368	8.254850e+10	3.182256e+02
369	4.338027e+10	3.453679e+05
370	2.078584e+11	3.251560e+02
371	1.192496e+11	2.960146e+02
372	1.197516e+11	1.605614e+02
373	1.544507e+10	9.048238e+00
374	1.832024e+10	2.965397e+02
375	8.836729e+10	2.072071e+02
376	3.325709e+10	2.251268e+02
377	1.267426e+10	8.071654e+01
378	6.729605e+10	3.818490e+02
379	1.146821e+10	3.147341e+01
380	1.387702e+11	1.036014e+03
381	1.617899e+11	1.116561e+03
382	1.608176e+10	1.442145e+02
383	1.287857e+11	2.201650e+02
384	4.809058e+10	4.271695e+02
385	6.134959e+10	6.005052e+02
386	1.120033e+11	3.133582e+02
387	1.659852e+11	3.181224e+02
388	2.033603e+10	5.685818e+01
389	1.548629e+10	4.282290e+01
390	8.432641e+10	2.554902e+02
391	2.707417e+10	2.178585e+01
392	1.008044e+11	9.387347e+02
393	1.761283e+11	1.205833e+01
394	2.256400e+10	2.150761e+02
395	4.730758e+10	3.083399e+01
396	9.540150e+10	1.671050e+02
397	5.084019e+10	3.184246e+05
398	1.994348e+10	1.717580e+01
399	6.074805e+10	1.029794e+02
400	2.016414e+11	7.802025e+02
401	3.734103e+10	6.722649e+01
402	4.950099e+10	2.600557e+01
403	8.790808e+10	2.155598e+02
404	6.570093e+10	4.894078e+02
405	7.279175e+10	7.959239e+01
406	3.519300e+10	2.082243e+02
407	5.564283e+10	8.723143e+01
408	8.532888e+10	6.419075e+02
409	5.092636e+10	8.654016e+01
410	4.790770e+10	5.740743e+02
411	8.814249e+09	3.986425e+01
412	5.418240e+10	1.839422e+02
413	4.901405e+10	1.153197e+02
414	4.935070e+10	2.841978e+02
415	3.663723e+10	3.792758e+02
416	1.743568e+10	2.422326e+01
417	2.059573e+10	6.167879e+01
418	7.998166e+10	4.791464e+02
419	1.554248e+10	3.798366e+01
420	9.134435e+10	6.047635e+01
421	1.533144e+11	2.351017e+02
422	2.960286e+10	3.386205e+02
423	6.964334e+10	7.095411e+02
424	2.658394e+10	9.734728e+01
425	3.235312e+10	3.094499e+02
426	1.118658e+11	3.361121e+02
427	1.749294e+10	3.407785e+03
428	5.451439e+10	3.827473e+02
429	5.183822e+10	4.360802e+01
430	7.928277e+10	1.419400e+02
431	1.191380e+11	3.762874e+02
432	7.223393e+10	1.845144e+02
433	7.772516e+10	4.258807e-03
434	8.250694e+10	3.250192e+02
435	1.725028e+11	4.522629e+02
436	5.022886e+10	5.679854e+02
437	3.569971e+10	8.784847e+02
438	1.083151e+11	3.415067e+01
439	7.845538e+10	3.653100e+02
440	5.726309e+10	1.676720e+02
441	1.300736e+11	4.137700e+02
442	3.179301e+10	5.570379e+01
443	1.059751e+11	5.244079e+02
444	7.419824e+10	7.786443e+01
445	3.730632e+10	2.025618e+02
446	3.790214e+10	1.295307e+03
447	1.744886e+10	5.170637e+01
448	7.570164e+10	2.668260e+02
449	2.419076e+10	1.845622e+01
450	8.685836e+10	5.796169e+02
451	6.969040e+10	5.065320e+00
452	9.753112e+10	2.667123e+02
453	7.102969e+10	6.714312e+02
454	3.847260e+10	3.460607e+01
455	3.997349e+10	9.133645e+02
456	3.441123e+10	1.993669e+02
457	6.736744e+10	1.009800e+03
458	3.176771e+10	4.753655e+01
459	1.853300e+10	6.429050e+02
460	9.219952e+10	2.428698e-03
461	6.819017e+10	1.926575e+02
462	3.643740e+10	6.176052e+02
463	8.858547e+10	1.367671e+01
464	5.442248e+10	1.074839e+03
465	1.046876e+11	2.159637e+02
466	3.256538e+10	5.015984e+03
467	3.643145e+10	4.590053e+01
468	4.746139e+10	4.606028e+02
469	7.894486e+10	6.211030e+02
470	1.444557e+11	2.507102e+02
471	2.945041e+10	4.723060e+02
472	1.007818e+11	1.641990e+02
473	5.255134e+10	4.707310e+02
474	5.519291e+10	3.699073e+02
475	8.423945e+10	5.299000e+02
476	8.774896e+09	5.347254e+01
477	1.515225e+10	3.337674e+01
478	1.859586e+11	9.271474e+02
479	1.772183e+10	2.519869e+02
480	8.120874e+10	3.384755e+02
481	1.048373e+11	4.831592e+02
482	5.914172e+09	3.085744e+01
483	9.327100e+10	1.600540e+02
484	2.874493e+10	6.603271e+01
485	3.585054e+10	1.950009e+01
486	2.087184e+10	2.396657e+02
487	4.746492e+10	1.305262e+02
488	1.954889e+11	6.133478e+02
489	5.616070e+10	1.870665e+02
490	3.770452e+10	2.744366e+02
491	7.810712e+10	2.222503e+01
492	4.589333e+10	1.794280e+02
493	4.786025e+10	9.263921e+01
494	1.587034e+11	1.265732e+03
495	4.483982e+10	7.061441e+02
496	7.209142e+10	1.105638e+02
497	5.438379e+10	3.149581e+03
498	8.426206e+10	6.448314e+02
499	5.594190e+10	1.841291e+02
500	9.287089e+10	7.236203e+02
501	5.620446e+10	3.832165e+01
502	6.920697e+10	2.553857e+02
503	4.078743e+10	3.598452e+00
